Row,Name,Neighborhood,Year,Value
4857,Ozone,201.0,2011,31.6
4858,Ozone,401.0,2011,32.7
4861,Ozone,403.0,2011,33.9
4862,Ozone,405.0,2011,33.0
4863,Ozone,305.0,2011,27.5
4872,Ozone,102.0,2011,33.4
4873,Ozone,302.0,2011,29.4
4874,Ozone,202.0,2011,29.5
4875,Ozone,406.0,2011,32.9
4880,Ozone,104.0,2011,34.2
4882,Ozone,504.0,2011,35.9
4885,Nitrogen Dioxide,502.0,2011,13.9
4893,Fine Particles,308.0,2011,13.1
4894,Nitrogen Dioxide,207.0,2011,18.8
4907,Nitrogen Dioxide,405.0,2011,18.5
4908,Ozone,303.0,2011,30.3
4911,Fine Particles,203.0,2011,11.5
4912,Ozone,503.0,2011,33.1
4913,Nitrogen Dioxide,401.0,2011,20.7
4920,Fine Particles,504.0,2011,11.0
4922,Nitrogen Dioxide,504.0,2011,8.5
4926,Ozone,502.0,2011,33.2
4927,Ozone,402.0,2011,33.0
4931,Fine Particles,501.0,2011,11.3
4936,Nitrogen Dioxide,208.0,2011,14.3
4937,Nitrogen Dioxide,308.0,2011,29.3
4938,Nitrogen Dioxide,307.0,2011,38.1
4939,Nitrogen Dioxide,407.0,2011,17.5
4940,Nitrogen Dioxide,107.0,2011,19.7
4942,Nitrogen Dioxide,408.0,2011,17.3
4948,Fine Particles,502.0,2011,11.0
4953,Fine Particles,503.0,2011,11.3
4962,Ozone,307.0,2011,22.6
4963,Ozone,408.0,2011,33.0
4987,Ozone,407.0,2011,33.6
4991,Fine Particles,407.0,2011,11.0
6058,Fine Particles,209.0,2012,10.0
6059,Fine Particles,409.0,2012,9.6
6060,Fine Particles,410.0,2012,9.4
6061,Fine Particles,211.0,2012,12.3
6062,Fine Particles,304.0,2012,11.4
6063,Fine Particles,204.0,2012,9.7
6064,Fine Particles,104.0,2012,10.3
6066,Nitrogen Dioxide,408.0,2012,16.2
6072,Fine Particles,305.0,2012,12.1
6073,Fine Particles,403.0,2012,10.1
6074,Fine Particles,202.0,2012,11.1
6080,Nitrogen Dioxide,302.0,2012,21.8
6081,Nitrogen Dioxide,202.0,2012,20.2
6083,Nitrogen Dioxide,306.0,2012,32.9
6100,Ozone,202.0,2012,30.7
6106,Fine Particles,106.0,2012,11.0
6110,Ozone,305.0,2012,29.2
6111,Ozone,205.0,2012,32.3
6119,Ozone,101.0,2012,33.7
6120,Fine Particles,103.0,2012,10.4
6126,Fine Particles,303.0,2012,10.6
6135,Nitrogen Dioxide,207.0,2012,16.9
6136,Fine Particles,306.0,2012,13.3
6140,Fine Particles,205.0,2012,10.9
6143,Nitrogen Dioxide,401.0,2012,18.8
6144,Nitrogen Dioxide,205.0,2012,17.1
6145,Nitrogen Dioxide,103.0,2012,17.1
6146,Nitrogen Dioxide,309.0,2012,25.3
6148,Ozone,409.0,2012,34.8
6149,Ozone,210.0,2012,37.1
6154,Ozone,102.0,2012,35.1
6156,Ozone,401.0,2012,33.9
6157,Ozone,301.0,2012,32.7
6164,Fine Particles,308.0,2012,12.1
6166,Ozone,211.0,2012,32.3
6172,Fine Particles,302.0,2012,10.9
6183,Nitrogen Dioxide,107.0,2012,17.9
6188,Ozone,309.0,2012,28.4
6189,Ozone,206.0,2012,33.4
6190,Ozone,105.0,2012,33.4
6193,Ozone,501.0,2012,31.1
6198,Ozone,306.0,2012,26.0
6203,Ozone,204.0,2012,34.0
6206,Nitrogen Dioxide,208.0,2012,12.4
6209,Ozone,410.0,2012,40.3
6210,Ozone,209.0,2012,34.3
6211,Fine Particles,210.0,2012,9.9
6213,Ozone,201.0,2012,32.7
